state,Complying Will,Stable Advance,Tough Stand,Miracle Idea
0,13.317,395.259,13.336,15.268
1,19.72,17.105,13.682,391.068
2,15.629,15.738,16.369,396.255
3,15.038,11.689,411.351,20.989
4,12.55,12.545,17.195,405.98
5,16.021,385.702,14.065,16.006
6,398.722,20.509,15.999,12.29
7,13.325,9.738,402.789,18.288
8,16.489,13.04,13.062,400.358
9,397.563,15.444,12.499,15.97
10,14.823,14.605,17.52,389.202
11,13.605,16.523,388.456,12.42
12,14.374,368.511,14.801,17.682
13,9.872,9.898,16.459,288.178
14,0.0,0.0,0.0,0.0
